FeatureID,SampleID,MouseID,Treatment,Time_days,Reads,RelAbund
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H13.Day1,H13,After_Diet,1,320,0.023173292780070968
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H13.Day3,H13,After_Diet,3,1513,0.11649214659685864
20cf13f228f8d16b499e9493dd2ee208,MOUSE.H13.Day7,H13,After_Diet,7,567,0.047977661194787614
bd87538a8a84679b27e33c28432046c2,MOUSE.G11.Day1,G11,Before_Diet,1,218,0.015781091646156074
bd87538a8a84679b27e33c28432046c2,MOUSE.G11.Day3,G11,Before_Diet,3,1870,0.1440899984589305
bd87538a8a84679b27e33c28432046c2,MOUSE.G11.Day7,G11,Before_Diet,7,939,0.07290938737479619
bd87538a8a84679b27e33c28432046c2,MOUSE.G12.Day1,G12,Before_Diet,1,25,0.0022186723464678736
bd87538a8a84679b27e33c28432046c2,MOUSE.G12.Day3,G12,Before_Diet,3,1218,0.11159978009895546
bd87538a8a84679b27e33c28432046c2,MOUSE.G12.Day7,G12,Before_Diet,7,688,0.06606491261763012
bd87538a8a84679b27e33c28432046c2,MOUSE.G21.Day1,G21,Before_Diet,1,296,0.02479269620571237
bd87538a8a84679b27e33c28432046c2,MOUSE.G21.Day3,G21,Before_Diet,3,2328,0.15171065493646138
bd87538a8a84679b27e33c28432046c2,MOUSE.G21.Day7,G21,Before_Diet,7,1495,0.09614766222908226
bd87538a8a84679b27e33c28432046c2,MOUSE.H11.Day1,H11,After_Diet,1,147,0.011361879734116556
bd87538a8a84679b27e33c28432046c2,MOUSE.H11.Day3,H11,After_Diet,3,853,0.06096340766152087
bd87538a8a84679b27e33c28432046c2,MOUSE.H11.Day7,H11,After_Diet,7,0,0
bd87538a8a84679b27e33c28432046c2,MOUSE.H12.Day1,H12,After_Diet,1,85,0.006757293902535972
bd87538a8a84679b27e33c28432046c2,MOUSE.H12.Day3,H12,After_Diet,3,0,0
bd87538a8a84679b27e33c28432046c2,MOUSE.H12.Day7,H12,After_Diet,7,0,0
bd87538a8a84679b27e33c28432046c2,MOUSE.H13.Day1,H13,After_Diet,1,49,0.003548410456948367
bd87538a8a84679b27e33c28432046c2,MOUSE.H13.Day3,H13,After_Diet,3,321,0.024715121650754544
bd87538a8a84679b27e33c28432046c2,MOUSE.H13.Day7,H13,After_Diet,7,0,0
6bd982a66b0c74116b5c1cd9b824c113,MOUSE.G11.Day1,G11,Before_Diet,1,15,0.0010858549297813813
